x y
41 35
41 44
56 58
114 116
23 23
22 23
32 31
69 67
49 52
112 114
63 64
39 39
26 26
24 24
50 60
70 77
55 54
77 75
20 19
38 36
123 106
23 20
31 31
43 42
37 35
52 49
25 25
76 79
90 94
61 57
33 34
39 40
55 55
55 55
58 54
26 26
42 43
26 26
49 47
20 24
66 66
33 30
38 39
25 26
22 21
62 61
90 90
34 33
79 74
45 45
33 36
62 93
26 26
31 31
39 39
32 33
21 27
37 37
40 39
33 33
39 37
29 29
20 20
45 42
31 31
46 49
27 27
23 23
61 61
22 22
22 23
49 50
49 52
30 30
21 21
80 73
40 36
28 28
27 26
22 22
29 26
21 20
22 21
31 27
22 22
20 20
38 42
67 59
48 47
35 32
26 24
64 60
49 47
108 99
30 30
51 51
16 22
84 88
71 71
27 28
29 29
26 26
26 26
24 24
25 24
29 30
26 27
21 21
35 39
43 50
49 49
76 76
21 20
28 24
48 53
43 38
38 34
39 35
56 55
39 41
35 35
41 37
47 46
66 62
83 74
54 52
39 40
30 29
25 24
32 32
32 32
33 35
39 39
68 67
62 63
21 22
58 58
58 58
56 59
26 24
106 102
94 108
21 22
21 22
31 32
32 33
26 26
26 26
87 88
28 30
32 31
37 38
37 37
46 47
39 40
27 27
25 25
27 28
24 25
26 26
79 71
17 18
17 17
65 66
59 58
41 36
68 60
78 89
34 33
37 37
19 19
19 19
25 22
18 18
34 33
71 63
90 87
41 41
30 29
31 31
25 26
43 45
29 29
35 37
41 40
21 21
57 63
27 27
31 31
27 39
43 40
18 17
72 72
44 41
17 19
56 48
34 34
23 23
21 22
26 23
123 123
32 36
50 50
49 48
28 24
19 19
50 50
35 31
24 24
51 55
25 26
17 17
20 20
36 37
60 60
29 29
40 37
60 61
109 107
18 19
20 20
34 34
33 35
47 43
64 55
19 21
35 33
20 21
69 63
121 113
36 32
44 46
24 25
89 83
18 18
56 52
52 52
26 25
88 91
53 56
124 117
74 73
65 64
20 22
72 65
94 80
60 61
21 25
38 35
22 23
26 28
74 71
20 20
25 25
25 26
60 61
19 19
55 56
41 41
54 50
37 36
42 40
92 90
54 65
65 70
68 66
68 66
78 70
61 61
50 44
32 33
36 32
28 28
39 37
37 37
28 29
33 32
64 63
39 35
28 28
26 25
20 19
32 32
42 42
22 25
24 23
39 39
44 45
22 22
23 23
43 44
43 42
21 21
21 21
25 27
27 27
32 33
68 72
25 25
92 95
45 45
46 46
115 110
65 66
31 30
77 78
127 111
58 53
40 35
32 32
35 32
45 45
64 64
58 61
59 59
20 20
24 23
23 23
22 22
31 30
21 18
22 22
51 51
22 22
26 26
24 24
50 51
54 53
38 39
40 40
74 70
67 63
65 57
36 35
41 42
32 35
47 42
44 53
23 23
29 30
56 56
29 30
34 30
33 33
32 30
107 105
58 57
41 41
23 23
23 24
32 37
36 38
29 29
30 29
42 46
50 50
52 48
58 55
32 33
32 32
27 24
27 23
107 96
76 75
38 30
30 28
22 23
69 64
50 50
29 29
49 49
62 54
48 45
37 35
36 34
42 40
33 33
40 43
44 45
34 34
34 34
103 112
23 22
22 19
34 36
33 34
26 24
23 22
28 25
25 24
26 26
21 21
47 47
43 45
43 43
43 43
27 27
27 28
66 68
46 46
37 37
34 30
31 28
33 29
29 27
33 34
25 25
27 27
29 29
30 30
28 28
57 52
38 38
61 59
68 69
33 33
33 31
27 27
24 24
21 22
33 33
58 53
61 56
35 36
37 37
58 59
24 24
25 25
44 44
43 43
118 104
43 43
44 43
23 23
23 23
26 23
27 23
40 40
43 41
44 42
41 40
49 50
53 52
21 20
23 21
21 19
21 21
24 23
27 26
27 23
26 25
56 56
43 43
31 31
34 34
39 39
39 41
39 39
41 41
119 118
123 120
46 46
48 48
47 47
47 47
24 24
23 23
23 23
24 24
40 40
39 39
39 39
39 39
34 29
33 29
64 64
65 65
39 39
40 40
25 25
23 23
66 64
66 63
48 48
46 47
65 69
95 87
46 47
48 48
34 34
35 35
27 23
24 22
24 24
54 48
41 41
41 41
24 24
26 27
61 61
57 57
54 55
56 55
31 27
27 26
51 48
49 45
84 76
78 70
56 56
53 60
45 46
46 49
46 47
22 22
38 38
100 91
33 29
22 22
46 48
23 23
22 22
25 24
86 78
94 88
40 40
41 41
40 40
41 41
120 111
94 96
28 28
29 29
39 37
38 40
26 26
28 28
56 54
90 92
28 29
22 22
57 60
81 70
49 49
30 28
20 19
32 27
20 18
48 45
45 42
30 31
29 29
45 46
41 42
33 33
21 22
77 70
29 27
38 35
87 75
27 27
55 50
90 80
55 56
58 57
37 38
35 33
25 25
31 31
30 31
37 35
24 24
36 36
37 38
24 24
33 33
32 32
32 32
31 31
77 75
36 37
35 35
40 40
42 42
40 40
30 30
48 48
36 33
53 53
50 52
33 33
33 34
75 77
55 55
19 19
22 22
24 24
20 20
58 69
30 29
56 51
98 95
41 42
41 41
33 40
49 48
48 47
19 20
18 19
109 111
34 34
69 71
31 32
55 51
16 18
43 39
44 40
40 36
40 40
55 55
37 37
38 39
76 74
58 58
74 74
48 48
53 53
56 58
28 30
30 30
45 43
47 47
54 54
52 52
30 30
30 30
41 41
39 40
35 34
33 33
20 20
22 22
16 16
68 61
38 34
18 20
34 39
25 25
29 28
17 17
16 16
18 18
16 16
37 35
58 58
44 40
60 60
44 40
34 34
32 32
20 19
59 51
33 33
32 32
24 24
22 22
